asset_id,location_id,original_latitude,original_longitude,facility_name,risk_category,suburb
232,207601,-37.796471,145.3583076,Edinburgh Early Learning Centre,CAT 3,Lilydale
233,95769,-37.1048412,144.3324877,Elphinstone Primary School,CAT 3,Elphinstone
234,252503,-37.6979327,145.1955011,Eltham College - Kangaroo Ground,CAT 3,Kangaroo Ground
235,252503,-37.7014263,145.1926276,Eltham College - Main Campus,CAT 3,Research
236,252503,-37.7014263,145.1926276,Eltham College Early Learning Centre,CAT 3,Research
237,252503,-37.7014263,145.1926276,Eltham College OSHC,CAT 3,Research
238,252499,-37.7032132,145.1529519,Eltham North P.S Outside School Hours Care,CAT 3,Eltham
239,252499,-37.6956509,145.1485345,Eltham North Primary School,CAT 3,Eltham North
240,255138,-37.7252306,145.1517045,Eltham Primary School,CAT 3,Eltham
241,255138,-37.7253464,145.1481374,Eltham PS TheirCare,CAT 3,Eltham
242,255138,-37.7278349,145.1491971,Eltham South Preschool,CAT 3,Eltham
243,462556,-38.3761006,145.1227773,Elysium OSHC - Balnarring,CAT 3,Balnarring
244,294181,-38.295475,145.172677,Elysium OSHC - Wallaroo,CAT 3,Hastings
245,311851,-37.932171,145.4430232,Emerald Preschool,CAT 3,Emerald
246,311852,-37.9337659,145.4423595,Emerald Primary School,CAT 3,Emerald
247,311852,-37.9337659,145.4423595,Emerald PS TheirCare,CAT 3,Emerald
248,461770,-37.9287642,145.4294761,Emerald Secondary College,CAT 2,Emerald
249,448709,-37.6117455,143.8719268,Emmaus Catholic Primary School,CAT 3,Mount Clear
250,67801,-36.8417182,144.3879697,Eppalock Primary School,CAT 3,Axe Creek
251,414165,-36.7048956,144.3141938,Epsom Primary School,CAT 3,Epsom
252,378058,-37.9769504,146.3722905,Erica Preschool,CAT 1,Erica
253,403226,-36.4655581,147.2513798,Eskdale Primary School,CAT 3,Eskdale
254,421814,-36.8634774,147.2813354,Falls Creek Child Care,CAT 3,Falls Creek
255,421814,-36.8643952,147.2798811,Falls Creek Primary School,CAT 3,Falls Creek
256,452225,-37.624671,143.8800749,Federation Children's Centre Mt Helen,CAT 3,Mount Helen
257,258101,-37.6378907,145.1926967,Ferguson Park Kindergarten,CAT 3,Hurstbridge
258,258101,-37.6380553,145.192462,Ferguson Park Pre School Banksia Campus,CAT 3,Hurstbridge
259,337562,-37.8601733,145.3220586,Fernbrook School,CAT 3,The Basin
260,165393,-37.7762196,145.3836865,Fernhill Preschool,CAT 3,Mount Evelyn
261,156716,-37.8839538,145.3339807,Ferny Creek Primary School,CAT 2,Ferny Creek
262,208246,-37.8833413,145.3350807,Ferny Creek PS TheirCare,CAT 2,Ferny Creek
263,74819,-36.7789851,144.3022271,First Grammar Bendigo,CAT 3,Bendigo
264,322933,-38.1167367,145.180598,Flinders Christian Community College - Carrum Downs Campus,CAT 3,Carrum Downs
265,87905,-37.3168272,145.2910106,Flowerdale Primary School,CAT 3,Flowerdale
266,87905,-37.3168273,145.2910106,Flowerdale Primary School (OSHC),CAT 3,Flowerdale
267,87905,-37.3168273,145.2910106,Flowerdale Uniting Kindergarten,CAT 3,Flowerdale
268,173173,-38.5156741,143.7140102,Forrest Learning Centre,CAT 2,Forrest
269,173173,-38.5156741,143.7140102,Forrest Primary School,CAT 2,Forrest
270,390175,-36.3795565,145.3514937,Frank R Pullar Childcare Centre,CAT 3,Mooroopna
