id,feed_type,category1,category2,status,name,action,location,created,updated,size,source_org,source_title,latitude,longitude,text
3024687,incident,Planned Burn,Planned Burn,Patrolled,,,6.5Km Ne Of Briagolong,2026-04-26T01:59:05.000Z,2026-04-26T01:59:05.000Z,1287.99 Ha.,VIC/DEECA,Briagolong - Coopers Road,-37.8054966,147.128557,
934925,incident,Planned Burn,Planned Burn,Patrolled,,,7Km Ne Of Coongulla,2026-04-26T01:57:35.000Z,2026-04-26T01:57:35.000Z,1365.81 Ha.,VIC/DEECA,Coongulla - Mount Hedrick,-37.842,146.8307,
3009913,incident,Planned Burn,Planned Burn,Patrolled,,,4Km S Of Eildon,2026-04-26T00:31:23.000Z,2026-04-26T00:31:23.000Z,818.47 Ha.,VIC/DEECA,Eildon - Mallet Tk,-37.2698331,145.9250708,
3026078,incident,Planned Burn,Planned Burn,Patrolled,,,5Km Se Of Eildon,2026-04-26T00:30:22.000Z,2026-04-26T00:30:22.000Z,613.34 Ha.,VIC/DEECA,Lake Eildon Np - Steep Track,-37.2643011,145.9537932,
855405,incident,Planned Burn,Planned Burn,Patrolled,,,1 Km E Mt Egerton,2026-04-25T23:39:14.000Z,2026-04-25T23:39:14.000Z,32.99 Ha.,VIC/DEECA,Mt Egerton - North Main Rd,-37.6161,144.1268,
941128,incident,Planned Burn,Planned Burn,Patrolled,,,2Km Sw Of Alberton West,2026-04-25T07:02:11.000Z,2026-04-25T07:02:11.000Z,233.59 Ha.,VIC/DEECA,Alberton West - Coal Mine Road,-38.6137,146.5543,
3020398,incident,Planned Burn,Planned Burn,Patrolled,,,6Km N Of Whittlesea,2026-04-25T05:38:06.000Z,2026-04-25T05:38:06.000Z,187.71 Ha.,VIC/DEECA,Whittlesea - Road 1,-37.4649943,145.1476044,
838942,incident,Planned Burn,Planned Burn,Patrolled,,,16Km Wsw Of Annuello,2026-04-25T04:55:09.000Z,2026-04-25T04:55:09.000Z,361.09 Ha.,VIC/DEECA,Annuello - Eastern Boundary,-34.8988,142.6724,
3026031,incident,Planned Burn,Planned Burn,Patrolled,,,2Km Nw Of Traralgon,2026-04-24T21:30:03.000Z,2026-04-24T21:30:03.000Z,1.88 Ha.,VIC/DEECA,Traralgon - Scrubby Lane 2,-38.1933576,146.4840208,
3023727,incident,Planned Burn,Planned Burn,Patrolled,,,4.5Km S Of Myrtleford,2026-04-24T07:57:47.000Z,2026-04-24T07:57:47.000Z,70.78 Ha.,VIC/DEECA,Buffalo Creek - Ellens Lane,-36.6009796,146.7110654,
3021994,incident,Planned Burn,Planned Burn,Patrolled,,,.6Km S Of Spring Gully,2026-04-24T07:30:44.000Z,2026-04-24T07:30:44.000Z,43.31 Ha.,VIC/DEECA,Spring Gully - Wattle Dr,-36.8083575,144.2861842,
3005965,incident,Planned Burn,Planned Burn,Patrolled,,,1.8Km Sw Of Emerald,2026-04-24T06:30:10.000Z,2026-04-24T06:30:10.000Z,44.68 Ha.,VIC/DEECA,Emerald - Cardinia Reservoir-Pb04,-37.9420715,145.4236125,
3009749,incident,Planned Burn,Planned Burn,Patrolled,,,2Km S Of Stony Creek,2026-04-24T03:00:47.000Z,2026-04-24T03:00:47.000Z,13.32 Ha.,VIC/DEECA,Kinglake West - Kinross Farm,-37.4189527,145.2753203,
838940,incident,Planned Burn,Planned Burn,Patrolled,,,28Km Ene Of Ouyen,2026-04-24T02:30:12.000Z,2026-04-24T02:30:12.000Z,341.59 Ha.,VIC/DEECA,Annuello - Southern Boundary,-34.9745,142.6104,
3015829,incident,Planned Burn,Planned Burn,Patrolled,,,4Km S Of Ross Creek,2026-04-23T22:57:46.000Z,2026-04-23T22:57:46.000Z,602.19 Ha.,VIC/DEECA,Ross Creek - Carey Rd,-37.6834836,143.740931,
898669,incident,Planned Burn,Planned Burn,Patrolled,,,1Km Ne Of Mount Dandenong,2026-04-23T20:55:35.000Z,2026-04-23T20:55:35.000Z,46.26 Ha.,VIC/DEECA,Mt Dandenong - Trig Trk,-37.8226,145.357,
3023114,incident,Planned Burn,Planned Burn,Patrolled,,,1.5Km Nw Of Mccrae,2026-04-22T06:54:17.000Z,2026-04-22T06:54:17.000Z,3.61 Ha.,VIC/DEECA,Mccrae - Wonga Ma,-38.3598083,144.943207,
